job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata,scheduled,pulling,pulled,created
1,w0,delay,0.026000,1,0,1,COMPLETED_SUCCESSFULLY,1.879000,170.930000,172.809000,1.853000,172.783000,1.010841,6,-1,,0.124000,0.706000,1.737000,1.801000
2,w0,delay,0.025000,1,0,1,COMPLETED_SUCCESSFULLY,4.132000,170.633000,174.765000,4.107000,174.740000,1.024069,4,-1,,0.112000,3.044000,4.015000,4.054000
3,w0,delay,3.008000,1,0,1,COMPLETED_SUCCESSFULLY,1426.172000,170.591000,1596.763000,1423.164000,1593.755000,9.342550,,-1,,,1425.023000,1426.043000,1426.118000
4,w0,delay,3.607000,1,0,1,COMPLETED_SUCCESSFULLY,1557.108000,170.830000,1727.938000,1553.501000,1724.331000,10.093842,1,-1,,1555.728000,1556.127000,1557.043000,1557.068000
5,w0,delay,4.205000,1,0,1,COMPLETED_SUCCESSFULLY,2269.105000,170.502000,2439.607000,2264.900000,2435.402000,14.283715,,-1,,,2268.054000,2269.016000,2269.053000
6,w0,delay,4.807000,1,0,1,COMPLETED_SUCCESSFULLY,1578.954000,170.870000,1749.824000,1574.147000,1745.017000,10.212542,,-1,,,1577.928000,1578.857000,1578.885000
7,w0,delay,5.405000,1,0,1,COMPLETED_SUCCESSFULLY,1577.992000,170.765000,1748.757000,1572.587000,1743.352000,10.209071,,-1,,,1576.973000,1577.901000,1577.948000
8,w0,delay,5.806000,1,0,1,COMPLETED_SUCCESSFULLY,1589.851000,170.213000,1760.064000,1584.045000,1754.258000,10.306252,,-1,,,1588.881000,1589.788000,1589.811000
9,w0,delay,6.402000,1,0,1,COMPLETED_SUCCESSFULLY,1602.562000,170.219000,1772.781000,1596.160000,1766.379000,10.377097,,-1,,,1601.482000,1602.437000,1602.487000
10,w0,delay,7.006000,1,0,1,COMPLETED_SUCCESSFULLY,1602.563000,170.462000,1773.025000,1595.557000,1766.019000,10.360192,,-1,,,1601.466000,1602.448000,1602.491000
11,w0,delay,7.615000,1,0,1,COMPLETED_SUCCESSFULLY,2139.132000,170.646000,2309.778000,2131.517000,2302.163000,13.490870,,-1,,,2138.062000,2139.041000,2139.085000
12,w0,delay,8.406000,1,0,1,COMPLETED_SUCCESSFULLY,1729.389000,170.794000,1900.183000,1720.983000,1891.777000,11.076367,,-1,,,1728.381000,1729.332000,1729.355000
13,w0,delay,9.205000,1,0,1,COMPLETED_SUCCESSFULLY,1739.670000,170.733000,1910.403000,1730.465000,1901.198000,11.135504,,-1,,,1738.646000,1739.565000,1739.598000
14,w0,delay,10.009000,1,0,1,COMPLETED_SUCCESSFULLY,1739.665000,170.747000,1910.412000,1729.656000,1900.403000,11.129935,,-1,,,1738.644000,1739.563000,1739.594000
15,w0,delay,10.605000,1,0,1,COMPLETED_SUCCESSFULLY,1750.259000,170.727000,1920.986000,1739.654000,1910.381000,11.189683,,-1,,,1749.240000,1750.185000,1750.229000
16,w0,delay,11.409000,1,0,1,COMPLETED_SUCCESSFULLY,1783.244000,170.756000,1954.000000,1771.835000,1942.591000,11.376414,,-1,,,1782.081000,1783.150000,1783.202000
17,w0,delay,12.203000,1,0,1,COMPLETED_SUCCESSFULLY,1783.242000,170.743000,1953.985000,1771.039000,1941.782000,11.372542,,-1,,,1782.074000,1783.073000,1783.173000
18,w0,delay,13.009000,1,0,1,COMPLETED_SUCCESSFULLY,1783.244000,170.738000,1953.982000,1770.235000,1940.973000,11.368137,,-1,,,1782.077000,1783.093000,1783.192000
19,w0,delay,13.802000,1,0,1,COMPLETED_SUCCESSFULLY,694.702000,170.250000,864.952000,680.900000,851.150000,4.999413,7,-1,,690.888000,693.702000,694.637000,694.664000
