job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata,scheduled,pulling,pulled,created
982,w0,delay61596,0.030000,1,0,1,COMPLETED_SUCCESSFULLY,2.264000,3600.729000,3602.993000,2.234000,3602.963000,1.000620,0,-1,,0.050000,0.673000,1.978000,2.124000
983,w0,delay51693,725.018000,1,0,1,COMPLETED_SUCCESSFULLY,7226.317000,3600.498000,10826.815000,6501.299000,10101.797000,2.805667,,-1,,,7224.725000,7226.115000,7226.197000
984,w0,delay53121,730.009000,1,0,1,COMPLETED_SUCCESSFULLY,14557.107000,3600.374000,18157.481000,13827.098000,17427.472000,4.840462,0,-1,,14555.211000,14555.718000,14556.966000,14557.006000
985,w0,delay24250,849.016000,1,0,1,COMPLETED_SUCCESSFULLY,3609.496000,3601.081000,7210.577000,2760.480000,6361.561000,1.766570,0,-1,,3602.989000,3608.249000,3609.416000,3609.445000
986,w0,delay21685,894.012000,1,0,1,COMPLETED_SUCCESSFULLY,3609.494000,3600.082000,7209.576000,2715.482000,6315.564000,1.754283,0,-1,,3602.991000,3608.256000,3609.359000,3609.424000
987,w0,delay489,6188.013000,1,0,1,COMPLETED_SUCCESSFULLY,6192.812000,489.694000,6682.506000,4.799000,494.493000,1.009800,0,-1,,6188.040000,6191.623000,6192.716000,6192.746000
988,w0,delay500,6629.019000,1,0,1,COMPLETED_SUCCESSFULLY,6630.887000,500.540000,7131.427000,1.868000,502.408000,1.003732,0,-1,,6629.076000,6629.612000,6630.742000,6630.770000
989,w0,delay162814,9256.018000,1,0,1,COMPLETED_SUCCESSFULLY,10832.013000,3600.919000,14432.932000,1575.995000,5176.914000,1.437665,0,-1,,10826.814000,10830.538000,10831.804000,10831.928000
990,w0,delay117,11326.023000,1,0,1,COMPLETED_SUCCESSFULLY,14437.990000,117.221000,14555.211000,3111.967000,3229.188000,27.547863,,-1,,,14436.633000,14437.808000,14437.882000
991,w0,delay124,15937.017000,1,0,1,COMPLETED_SUCCESSFULLY,18162.403000,124.362000,18286.765000,2225.386000,2349.748000,18.894421,0,-1,,18157.485000,18161.089000,18162.277000,18162.302000
992,w0,delay123,16314.018000,1,0,1,COMPLETED_SUCCESSFULLY,18288.462000,123.598000,18412.060000,1974.444000,2098.042000,16.974725,0,-1,,18286.773000,18287.292000,18288.383000,18288.405000
993,w0,delay124,16597.004000,1,0,1,COMPLETED_SUCCESSFULLY,18413.814000,124.570000,18538.384000,1816.810000,1941.380000,15.584651,0,-1,,18412.065000,18412.570000,18413.710000,18413.743000
994,w0,delay115,16767.017000,1,0,1,COMPLETED_SUCCESSFULLY,24322.074000,115.533000,24437.607000,7555.057000,7670.590000,66.393065,0,-1,,24320.364000,24320.835000,24321.940000,24321.968000
995,w0,delay124,16885.004000,1,0,1,COMPLETED_SUCCESSFULLY,18540.144000,124.530000,18664.674000,1655.140000,1779.670000,14.291095,0,-1,,18538.397000,18538.836000,18539.994000,18540.040000
996,w0,delay115,17059.012000,1,0,1,COMPLETED_SUCCESSFULLY,29720.023000,115.401000,29835.424000,12661.011000,12776.412000,110.713183,,-1,,,29718.772000,29719.895000,29719.937000
997,w0,delay726,17265.020000,1,0,1,COMPLETED_SUCCESSFULLY,19359.030000,727.057000,20086.087000,2094.010000,2821.067000,3.880118,0,-1,,19354.235000,19357.775000,19358.869000,19358.906000
998,w0,delay41,18107.017000,1,0,1,COMPLETED_SUCCESSFULLY,24051.501000,41.398000,24092.899000,5944.484000,5985.882000,144.593507,,-1,,,24050.260000,24051.380000,24051.403000
999,w0,delay684,18136.007000,1,0,1,COMPLETED_SUCCESSFULLY,18669.854000,684.372000,19354.226000,533.847000,1218.219000,1.780054,0,-1,,18664.683000,18668.353000,18669.656000,18669.753000
1000,w0,delay188,19266.017000,1,0,1,COMPLETED_SUCCESSFULLY,25180.230000,188.467000,25368.697000,5914.213000,6102.680000,32.380629,,-1,,,25178.872000,25180.055000,25180.117000
1001,w0,delay209,19441.014000,1,0,1,COMPLETED_SUCCESSFULLY,24968.542000,209.806000,25178.348000,5527.528000,5737.334000,27.345900,,-1,,,24967.331000,24968.440000,24968.466000
1002,w0,delay92914,19536.018000,1,0,1,COMPLETED_SUCCESSFULLY,19537.869000,3601.111000,23138.980000,1.851000,3602.962000,1.000514,0,-1,,19536.051000,19536.603000,19537.757000,19537.813000
1003,w0,delay90778,19628.017000,1,0,1,COMPLETED_SUCCESSFULLY,19629.883000,3600.275000,23230.158000,1.866000,3602.141000,1.000518,0,-1,,19628.054000,19628.614000,19629.764000,19629.826000
1004,w0,delay134,19679.013000,1,0,1,COMPLETED_SUCCESSFULLY,23915.313000,134.482000,24049.795000,4236.300000,4370.782000,32.500870,0,-1,,23913.442000,23913.975000,23915.183000,23915.254000
1005,w0,delay86400,19943.006000,1,0,1,COMPLETED_SUCCESSFULLY,20090.875000,3601.046000,23691.921000,147.869000,3748.915000,1.041063,0,-1,,20086.094000,20089.632000,20090.743000,20090.782000
1006,w0,delay239,20935.005000,1,0,1,COMPLETED_SUCCESSFULLY,24727.057000,239.745000,24966.802000,3792.052000,4031.797000,16.817022,,-1,,,24725.834000,24726.909000,24726.945000
1007,w0,delay228,21184.007000,1,0,1,COMPLETED_SUCCESSFULLY,25597.052000,228.522000,25825.574000,4413.045000,4641.567000,20.311248,,-1,,,25595.647000,25596.826000,25596.959000
1008,w0,delay282,21521.021000,1,0,1,COMPLETED_SUCCESSFULLY,24439.287000,282.978000,24722.265000,2918.266000,3201.244000,11.312696,,-1,,,24438.055000,24439.169000,24439.196000
1009,w0,delay221,22247.017000,1,0,1,COMPLETED_SUCCESSFULLY,25373.668000,221.492000,25595.160000,3126.651000,3348.143000,15.116316,,-1,,,25372.252000,25373.503000,25373.592000
1010,w0,delay222,22832.008000,1,0,1,COMPLETED_SUCCESSFULLY,24097.587000,222.769000,24320.356000,1265.579000,1488.348000,6.681127,0,-1,,24092.899000,24096.363000,24097.465000,24097.494000
1011,w0,delay216,23575.006000,1,0,1,COMPLETED_SUCCESSFULLY,23696.730000,216.705000,23913.435000,121.724000,338.429000,1.561704,0,-1,,23691.928000,23695.473000,23696.639000,23696.671000
