max_timestep,duration,makespan,mean_waiting_time
100,744.554103272,2217.559015,964.004272
200,445.497931569,2217.142030,973.493307
300,334.472899091,2219.741015,965.151047
400,264.075889000,2218.113015,955.973892
500,231.613711327,2385.231015,1013.629331
600,187.346636986,2215.219015,969.862447
700,163.456527931,2214.735015,968.042141
800,146.149913323,2215.352015,970.061981
900,131.837328472,2214.334015,963.277456
1000,122.331250164,2214.884030,965.051437
2000,79.536449717,2214.927015,971.904006
3000,62.214448739,2214.542015,950.854706
4000,58.386903160,2215.158030,960.128936
5000,48.604568393,2215.100015,969.003946
6000,43.413539104,2214.839015,963.758687
7000,45.452203820,2215.692015,981.781361
8000,40.907133296,2215.295015,979.856896
9000,41.231780106,2214.522015,963.739366
10000,36.936929137,2214.197015,967.970441
20000,31.113196565,2214.795015,972.194071
30000,31.546833222,2215.241015,981.663811
40000,31.978055606,2214.639030,968.057221
50000,30.180311862,2214.256015,957.005596
60000,30.652442867,2214.643015,981.122616
70000,29.681548674,2214.945015,981.706731
80000,31.882282038,2215.044015,972.409646
90000,24.617441063,2214.173015,981.144611
100000,35.224464768,2215.209015,976.126986
200000,30.856223549,2214.787015,978.212936
300000,25.438826817,2214.558015,981.295116
400000,27.835566490,2214.541045,979.700896
500000,30.612080305,2214.344015,959.437676
600000,30.420064600,2215.679015,976.350916
700000,31.099764529,2214.953030,972.222270
800000,30.997505445,2214.727015,972.629086
900000,31.674424893,2214.821015,981.562307
1000000,25.449958017,2214.297015,981.243716
2000000,31.748144619,2214.893015,966.409556
3000000,35.826402608,2214.681015,966.517276
4000000,30.011693711,2214.743015,981.471745
5000000,29.538608724,2214.002015,977.238606
6000000,35.580746901,2214.665015,950.388912
7000000,29.529553050,2214.002015,946.512612
8000000,32.060329683,2215.545015,989.472901
9000000,28.281320741,2213.796015,980.511966
100,728.974726097,2219.063015,970.191471
200,434.106731950,2144.439015,951.621821
300,323.684705933,2216.603015,968.555336
400,260.973173117,2215.137015,945.221817
500,216.326991679,2217.044015,977.322167
600,183.856677894,2214.799030,965.495110
700,161.542367604,2214.755015,951.131097
800,145.809885022,2214.782015,970.427171
900,136.013002445,2214.579015,961.691611
1000,122.571232640,2216.018030,964.770436
2000,76.187111962,2214.751015,959.078851
3000,60.597472506,2213.964015,950.473676
4000,50.719798589,2214.394015,972.899642
5000,52.701020177,2215.067015,951.948451
6000,45.643103483,2215.251015,973.433206
7000,44.714855377,2214.105015,964.840626
8000,41.593350011,2214.818015,970.980516
9000,43.521031109,2215.158015,965.692541
10000,43.485992161,2214.938015,967.077847
20000,33.996034300,2214.781015,975.560132
30000,30.727246633,2214.484015,981.478637
40000,29.922336564,2214.483015,981.238136
50000,26.048969999,2214.475030,974.571121
60000,35.991773596,2214.963015,965.812516
70000,31.030045024,2214.794030,972.145962
80000,31.476011115,2215.269015,977.399331
90000,36.351777283,2214.220015,947.896256
100000,31.040256645,2214.840015,972.446812
200000,34.628543725,2214.461015,973.546751
300000,30.233395448,2214.822015,972.110526
400000,28.740795296,2214.922015,975.542361
500000,31.579789998,2385.232045,1041.534631
600000,28.911684277,2214.886015,980.972641
700000,28.105116697,2215.070015,973.800711
800000,35.296309832,2214.088015,957.483186
900000,31.499336848,2214.202030,956.427047
1000000,28.423334614,2213.685015,951.593961
2000000,34.760903826,2214.696015,975.502161
3000000,28.870083701,2214.368015,974.495816
4000000,32.949154384,2384.782015,1031.079481
5000000,31.166939200,2214.662015,947.751152
6000000,28.836573465,2214.369015,977.117101
7000000,28.456756823,2214.684015,974.581546
8000000,29.811745827,2215.005015,977.337331
9000000,31.504899623,2214.928015,972.342831
100,726.440962379,2217.058015,973.805317
200,444.257282039,2217.072015,969.398676
300,325.390204983,2219.116015,965.156301
400,243.283192044,2055.618015,916.529426
500,215.662544890,2215.708015,955.570381
600,183.302061084,2214.869015,960.834446
700,165.167445332,2215.299015,969.735981
800,146.292119006,2215.693015,978.655302
900,136.327395966,2214.763015,967.656256
1000,121.609342359,2214.401015,964.138976
2000,80.470865967,2191.837015,943.254411
3000,59.845481903,2214.283015,963.125011
4000,54.970734425,2214.898015,956.400471
5000,47.184469886,2214.816015,981.521982
6000,40.099929758,2214.207015,978.810691
7000,44.237560735,2214.366045,956.375881
