max_timestep,duration,makespan,mean_waiting_time
1000,1530.301893530,32554.606030,
2000,753.686508747,32554.245015,3192.212503
3000,269.302151389,32554.123015,863.060785
4000,204.174504947,32554.098015,924.826247
5000,283.895306824,32554.080015,2660.843836
6000,177.191355832,32554.260015,1079.057349
7000,252.362456023,32554.094015,2572.330606
8000,111.159459225,32554.044015,772.709656
9000,205.098035595,32587.769015,2614.718708
10000,189.543754338,32559.445030,2614.604862
20000,98.247492996,32554.071015,2544.701502
30000,90.049198481,32554.093015,2746.067989
40000,68.831517870,32554.048015,2289.798605
50000,63.289755967,32554.048015,2075.480553
60000,66.740440225,32554.099015,2278.855989
70000,67.181704172,32574.957015,2964.101323
80000,40.745417122,32554.088015,1102.538067
90000,60.846439656,32554.249015,2418.002144
100000,38.580942368,32554.093015,1001.437374
200000,34.458911277,32554.242015,953.064195
300000,54.798649530,32554.247015,3043.392092
400000,53.536925385,32554.121015,2142.113118
500000,31.362980976,32554.113015,1121.274682
600000,52.543639485,32554.133015,2536.379656
700000,33.751487647,32554.093015,1024.359452
800000,53.368684200,32554.265015,3077.663015
900000,53.514178875,32554.144015,2800.695374
1000000,28.394711337,32554.050015,876.198964
2000000,54.252927840,32554.232015,2745.295836
3000000,52.185450145,32554.084015,2207.504887
4000000,34.113217661,32554.112015,934.771092
5000000,33.303402177,32554.079015,1012.557656
6000000,56.845053188,32554.255015,2891.904657
7000000,54.116080587,32554.447015,2475.931862
8000000,54.178220047,32554.119015,2347.362195
9000000,32.790030439,32554.066015,1149.639092
