max_timestep,duration,makespan,mean_waiting_time
10,1233.698747974,2172.046015,18.427776
20,1396.123410454,2182.960030,29.701026
30,1159.745978977,2235.719015,37.483256
40,1021.120934883,2184.105015,19.088051
50,856.585320623,2173.725015,23.016826
60,838.098127728,2164.294015,16.998481
70,688.880578577,2193.627015,19.097945
80,746.794769271,2244.973015,41.100386
90,752.566129353,2249.154015,47.002946
100,709.783759597,2235.853015,43.475436
200,422.034231047,2233.626015,38.984876
300,359.275356201,2215.241015,35.482836
400,250.381162596,2223.810015,29.340510
500,275.253910739,2243.924015,53.683751
600,231.454524219,2223.135015,29.051866
700,239.429518106,2268.981015,53.881151
800,180.400954207,2243.209015,28.397806
900,200.674419133,2263.208015,50.213085
1000,173.898290390,2260.567015,36.916071
2000,156.866057837,2254.031015,46.141111
3000,150.532376778,2252.742015,45.009931
4000,158.559263272,2273.340015,54.907385
5000,124.422225385,2252.710015,35.152676
6000,163.212750677,2281.168030,55.881096
7000,165.813004306,2284.654015,60.227221
8000,142.666297881,2252.924015,42.252361
9000,137.018704379,2223.069030,34.387416
10000,133.588474643,2245.380015,32.206846
20000,159.296933344,2223.120015,34.695881
30000,170.749722050,2290.409015,57.776531
40000,163.109730043,2284.277015,59.313386
50000,154.025320832,2253.831015,47.580276
60000,137.461250549,2242.313015,36.176186
70000,156.279002711,2270.855015,56.537410
80000,153.544597628,2245.375015,46.673551
90000,150.491810960,2273.002015,47.343891
100000,149.315334552,2253.012015,44.332716
200000,157.069842717,2263.438015,51.298251
300000,150.314896242,2244.557015,40.130726
400000,158.409352692,2273.489015,46.821401
500000,114.524728631,2231.645015,22.617801
600000,148.873233027,2253.822015,47.256411
700000,169.315065793,2269.102030,51.203856
800000,167.927253032,2254.598015,52.772691
900000,149.992428653,2262.991015,46.866580
