delay,success_rate,mean_failure_sim_time,min_failure_sim_time,max_failure_sim_time,mean_success_sim_time,min_success_sim_time,max_success_sim_time
0,0,7.127,5.859117046,7.495765721,0,0,0
1,.05,7.042,6.170561421,7.565942188,44.495,44.495396351,44.495396351
2,0,7.121,6.795956855,7.544857268,0,0,0
3,.10,7.126,6.182077718,7.477982807,44.600,44.174409312,45.026833062
4,0,7.194,6.732328549,7.678965610,0,0,0
5,.05,7.095,6.041585838,7.533778278,45.452,45.452512946,45.452512946
6,.05,7.055,6.773204710,7.616952916,45.095,45.095079149,45.095079149
7,0,7.082,6.668300768,7.647733927,0,0,0
8,0,7.164,6.856812863,7.828519501,0,0,0
9,.05,7.148,6.884205574,7.544090789,44.658,44.658806274,44.658806274
10,0,8.341,6.808863880,30.536400285,0,0,0
11,.10,7.103,6.201273973,7.676175421,45.525,44.528288894,46.522494351
12,.25,9.460,6.095302073,40.925711683,45.221,44.465911980,45.830521162
13,.35,6.906,5.906426639,7.807480990,45.421,44.470781590,46.184657642
14,.45,6.708,5.993069070,7.673981149,45.486,45.072470199,46.158980595
15,.75,6.694,6.266570893,7.112661685,45.653,44.321989271,46.313608727
16,.75,7.059,6.219358619,7.447294243,46.021,44.989683068,47.056135335
17,.90,6.781,6.286888638,7.277047612,46.085,44.991692543,47.463752079
18,.80,17.115,6.336194528,49.394484324,46.102,45.243305545,47.050252967
19,.75,17.918,7.305335087,45.502518299,46.320,45.714794598,47.089080202
20,.90,8.125,7.211297535,9.040442230,46.690,45.868882980,47.616900867
21,.95,6.268,6.268414586,6.268414586,48.828,47.819841800,49.495943419
22,.85,7.053,6.414354006,8.039151705,51.365,50.602901900,52.055587859
23,.90,38.375,22.550175311,54.200371905,53.655,52.556820404,54.699897218
24,.95,6.764,6.764047405,6.764047405,55.678,54.903629902,56.923347997
25,.80,8.774,5.156082541,13.336462779,57.734,56.605516936,59.046610541
26,.85,9.218,8.890627532,9.462871510,59.937,58.607895826,60.680758581
27,.80,8.164,6.748413672,9.562820620,61.824,60.467102887,63.493085587
28,.95,9.882,9.882622508,9.882622508,64.119,63.053155632,65.041027817
29,.95,6.846,6.846687092,6.846687092,66.167,64.928557670,67.572503491
30,.80,22.846,7.299466320,46.297001524,67.904,66.378665061,69.276254855
31,1.00,0,0,0,70.064,68.439892057,71.169730913
32,.90,9.687,8.078876367,11.296976529,72.035,70.969106411,73.198762555
33,.90,43.532,11.465273859,75.600489937,74.175,71.637361393,75.370745943
34,.90,7.975,7.056964905,8.893508260,76.195,75.192968615,77.517608669
35,.95,83.647,83.647487725,83.647487725,78.429,76.595896593,80.057898034
36,.95,12.449,12.449367653,12.449367653,79.461,75.098931427,80.858321840
37,1.00,0,0,0,81.059,79.669829343,83.044600816
38,.95,84.747,84.747916435,84.747916435,82.450,80.952815226,84.140764285
39,1.00,0,0,0,84.245,82.311526563,85.934706897
40,1.00,0,0,0,86.320,84.049003581,87.758687146
41,.95,92.258,92.258767949,92.258767949,87.703,86.108535479,89.988687944
42,.95,24.391,24.391566706,24.391566706,89.646,87.012140372,91.721921413
43,1.00,0,0,0,91.311,88.617799845,92.951407186
44,1.00,0,0,0,92.916,90.849462961,94.426901595
45,.95,14.107,14.107011804,14.107011804,94.176,92.403701872,95.661518075
46,.95,84.227,84.227944702,84.227944702,96.399,94.553675896,97.720031873
