delay,exit_code,duration
0,0,41.626524729
0,0,32.389851934
0,0,42.441046164
0,0,41.739835290
0,0,27.317972312
0,0,27.422242076
0,0,42.590135243
0,0,27.636353168
0,0,28.027406115
0,0,42.060366865
0,0,23.520334652
0,0,43.919448078
0,0,37.551742113
0,0,42.634283963
0,0,43.874940085
5,0,44.415608198
5,0,41.769914331
5,0,42.812984170
5,0,42.941968302
5,0,45.583513927
5,0,44.766137150
5,1,47.738591873
5,0,43.971233939
5,1,39.589934365
5,0,37.396640863
5,0,44.113348185
5,0,44.737792128
5,0,41.910511236
5,1,66.857092360
5,0,44.281037981
10,1,34.777489424
10,0,28.067533560
10,1,35.555326436
10,0,27.977571882
10,1,40.641898779
10,0,29.002322324
10,0,44.111932657
10,1,59.239400072
10,0,43.502887334
10,0,43.865816056
10,0,46.981068487
10,0,27.772105394
10,0,23.829918893
10,0,27.340657490
10,0,27.708684352
15,1,63.187790064
15,0,44.482134850
15,0,39.551592619
15,0,42.524635914
15,0,28.289058079
15,0,43.750754476
15,0,43.876268206
15,0,44.591148777
15,0,38.281753978
15,0,43.581356703
15,0,42.386865754
15,0,44.043928095
15,0,44.235243925
15,0,42.773488789
15,0,37.402345887
20,0,44.642416471
20,1,54.379296885
20,0,43.891360471
20,0,43.032911641
20,0,44.520202557
20,0,44.301409882
20,1,43.238744488
20,0,44.011934510
20,0,44.082608443
20,0,42.390086170
20,0,44.447916545
20,0,43.599472600
20,0,45.249269624
20,0,42.626937082
20,0,43.811558423
25,0,52.715296065
25,0,51.960874137
25,1,51.527935848
25,0,54.369666473
25,0,51.907987183
25,0,51.379411668
25,0,54.414244582
25,1,72.753680555
25,0,52.585566846
25,0,53.008016700
25,0,51.940866688
25,0,54.624144433
25,0,52.385944090
25,0,49.020423964
25,0,53.154975784
30,0,57.111577642
30,0,63.228467945
30,0,64.042313000
30,0,64.200647879
30,0,62.179627181
30,0,63.105864845
30,0,46.538247283
30,1,49.145306667
30,0,62.364593649
30,0,61.842112842
30,0,63.578380894
30,0,54.427121055
30,0,61.784870613
30,0,53.605718390
30,0,63.886382378
35,0,73.304453483
35,0,54.788058035
35,0,70.950822650
35,1,30.867333668
35,0,71.496187506
35,0,70.895763802
35,0,73.332088929
35,0,71.479517216
35,0,72.218363459
35,0,65.978110810
35,0,74.412804983
35,1,95.316563376
35,0,72.016133314
35,0,71.408005631
35,0,75.051046253
40,1,38.040535742
40,0,85.185385878
40,1,71.141113664
40,0,84.910825446
40,0,84.681216071
40,0,43.534121273
40,0,81.007895806
40,0,84.058654721
40,0,86.828181269
40,0,84.258912519
40,0,82.321437985
40,0,86.577615157
40,1,63.816245728
40,1,55.856266496
40,0,84.709620027
45,0,92.225945408
45,0,95.202468704
45,0,95.143176976
45,0,91.119638215
45,0,95.707408536
45,0,69.241477403
45,0,91.589335556
45,0,69.123117518
45,0,91.078909477
45,0,93.670030151
45,1,39.301746129
45,0,58.506805784
45,1,58.408260323
45,0,80.135473819
45,0,53.172751398
50,1,97.964082911
50,0,103.271424455
50,0,103.995832998
50,0,100.452228049
50,1,40.284125267
50,0,100.880759615
50,0,105.252304899
50,0,104.446279640
50,1,49.962913499
50,0,100.543118525
50,0,88.331212090
50,0,99.956445296
50,1,131.820097148
50,0,104.531594672
50,0,87.870607026
50,0,100.139568220
50,0,99.937264287
