job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata,scheduled,pulling,pulled,created
1,w0,delay,0.049000,1,0,1,COMPLETED_SUCCESSFULLY,11.489000,160.560000,172.049000,11.440000,172.000000,1.071251,0,-1,,0.090000,3.440000,10.102000,11.433000
2,w0,delay,10.009000,1,0,1,COMPLETED_SUCCESSFULLY,21.593000,160.802000,182.395000,11.584000,172.386000,1.072039,1,-1,,10.050000,13.985000,20.532000,21.465000
3,w0,delay,20.003000,1,0,1,COMPLETED_SUCCESSFULLY,31.047000,160.511000,191.558000,11.044000,171.555000,1.068805,2,-1,,20.019000,23.471000,29.439000,30.947000
4,w0,delay,30.009000,1,0,1,COMPLETED_SUCCESSFULLY,41.802000,160.673000,202.475000,11.793000,172.466000,1.073398,3,-1,,30.088000,33.634000,39.506000,41.687000
5,w0,delay,40.020000,1,0,1,COMPLETED_SUCCESSFULLY,51.630000,160.394000,212.024000,11.610000,172.004000,1.072384,4,-1,,40.065000,43.583000,49.576000,51.507000
6,w0,delay,50.003000,1,0,1,COMPLETED_SUCCESSFULLY,61.904000,160.327000,222.231000,11.901000,172.228000,1.074230,5,-1,,50.018000,53.538000,59.990000,61.810000
7,w0,delay,60.003000,1,0,1,COMPLETED_SUCCESSFULLY,72.571000,160.189000,232.760000,12.568000,172.757000,1.078457,6,-1,,60.018000,64.388000,70.401000,72.442000
8,w0,delay,70.003000,1,0,1,COMPLETED_SUCCESSFULLY,82.085000,160.210000,242.295000,12.082000,172.292000,1.075414,7,-1,,70.017000,73.965000,80.203000,81.963000
9,w0,delay,80.018000,1,0,1,COMPLETED_SUCCESSFULLY,92.615000,160.945000,253.560000,12.597000,173.542000,1.078269,8,-1,,80.064000,83.974000,90.572000,92.481000
10,w0,delay,90.004000,1,0,1,COMPLETED_SUCCESSFULLY,102.504000,160.491000,262.995000,12.500000,172.991000,1.077886,9,-1,,90.049000,93.883000,100.294000,102.378000
11,w0,delay,100.003000,1,0,1,COMPLETED_SUCCESSFULLY,113.238000,160.583000,273.821000,13.235000,173.818000,1.082418,10,-1,,100.024000,104.558000,111.888000,113.141000
12,w0,delay,110.003000,1,0,1,COMPLETED_SUCCESSFULLY,123.105000,160.727000,283.832000,13.102000,173.829000,1.081517,11,-1,,110.195000,113.870000,120.507000,122.962000
13,w0,delay,120.009000,1,0,1,COMPLETED_SUCCESSFULLY,131.943000,160.641000,292.584000,11.934000,172.575000,1.074290,12,-1,,120.030000,123.767000,129.904000,131.878000
14,w0,delay,130.034000,1,0,1,COMPLETED_SUCCESSFULLY,139.491000,160.553000,300.044000,9.457000,170.010000,1.058903,13,-1,,130.235000,131.094000,137.278000,139.378000
15,w0,delay,140.012000,1,0,1,COMPLETED_SUCCESSFULLY,149.237000,160.948000,310.185000,9.225000,170.173000,1.057317,14,-1,,140.062000,140.620000,146.950000,149.153000
16,w0,delay,150.003000,1,0,1,COMPLETED_SUCCESSFULLY,174.048000,160.256000,334.304000,24.045000,184.301000,1.150041,0,-1,,172.049000,172.641000,173.847000,173.954000
17,w0,delay,160.022000,1,0,1,COMPLETED_SUCCESSFULLY,184.180000,160.482000,344.662000,24.158000,184.640000,1.150534,1,-1,,182.409000,182.928000,184.023000,184.114000
18,w0,delay,170.008000,1,0,1,COMPLETED_SUCCESSFULLY,193.599000,161.243000,354.842000,23.591000,184.834000,1.146307,2,-1,,191.573000,192.110000,193.337000,193.474000
19,w0,delay,180.011000,1,0,1,COMPLETED_SUCCESSFULLY,204.237000,160.485000,364.722000,24.226000,184.711000,1.150955,3,-1,,202.484000,202.954000,204.105000,204.180000
20,w0,delay,190.008000,1,0,1,COMPLETED_SUCCESSFULLY,214.063000,161.227000,375.290000,24.055000,185.282000,1.149200,4,-1,,212.032000,212.552000,213.797000,213.945000
21,w0,delay,200.023000,1,0,1,COMPLETED_SUCCESSFULLY,224.034000,160.512000,384.546000,24.011000,184.523000,1.149590,5,-1,,222.239000,222.770000,223.845000,223.934000
22,w0,delay,210.010000,1,0,1,COMPLETED_SUCCESSFULLY,234.763000,160.291000,395.054000,24.753000,185.044000,1.154425,6,-1,,232.758000,233.315000,234.407000,234.639000
23,w0,delay,220.008000,1,0,1,COMPLETED_SUCCESSFULLY,346.506000,160.444000,506.950000,126.498000,286.942000,1.788425,1,-1,,344.678000,345.231000,346.333000,346.425000
24,w0,delay,230.005000,1,0,1,COMPLETED_SUCCESSFULLY,244.176000,160.394000,404.570000,14.171000,174.565000,1.088351,7,-1,,242.300000,242.776000,243.942000,244.036000
25,w0,delay,240.018000,1,0,1,COMPLETED_SUCCESSFULLY,255.548000,160.286000,415.834000,15.530000,175.816000,1.096889,8,-1,,253.571000,254.163000,255.293000,255.427000
26,w0,delay,250.003000,1,0,1,COMPLETED_SUCCESSFULLY,264.985000,160.286000,425.271000,14.982000,175.268000,1.093470,9,-1,,263.001000,263.477000,264.661000,264.864000
27,w0,delay,260.009000,1,0,1,COMPLETED_SUCCESSFULLY,275.625000,160.504000,436.129000,15.616000,176.120000,1.097294,10,-1,,273.827000,274.366000,275.438000,275.519000
28,w0,delay,270.008000,1,0,1,COMPLETED_SUCCESSFULLY,285.752000,160.358000,446.110000,15.744000,176.102000,1.098180,11,-1,,283.832000,284.323000,285.500000,285.653000
29,w0,delay,280.008000,1,0,1,COMPLETED_SUCCESSFULLY,294.534000,160.327000,454.861000,14.526000,174.853000,1.090602,12,-1,,292.593000,293.172000,294.298000,294.409000
30,w0,delay,290.007000,1,0,1,COMPLETED_SUCCESSFULLY,302.032000,160.328000,462.360000,12.025000,172.353000,1.075002,13,-1,,300.048000,300.600000,301.821000,301.910000
31,w0,delay,300.003000,1,0,1,COMPLETED_SUCCESSFULLY,312.295000,161.208000,473.503000,12.292000,173.500000,1.076249,14,-1,,310.191000,310.770000,312.069000,312.168000
32,w0,delay,310.016000,1,0,1,COMPLETED_SUCCESSFULLY,336.109000,160.512000,496.621000,26.093000,186.605000,1.162561,0,-1,,334.313000,334.825000,335.939000,336.033000
33,w0,delay,320.008000,1,0,1,COMPLETED_SUCCESSFULLY,356.801000,160.310000,517.111000,36.793000,197.103000,1.229512,2,-1,,354.848000,355.524000,356.606000,356.717000
34,w0,delay,330.007000,1,0,1,COMPLETED_SUCCESSFULLY,508.747000,160.496000,669.243000,178.740000,339.236000,2.113673,1,-1,,506.966000,507.451000,508.527000,508.636000
35,w0,delay,340.008000,1,0,1,COMPLETED_SUCCESSFULLY,519.130000,160.283000,679.413000,179.122000,339.405000,2.117536,2,-1,,517.111000,517.631000,518.882000,518.988000
36,w0,delay,350.009000,1,0,1,COMPLETED_SUCCESSFULLY,366.692000,160.346000,527.038000,16.683000,177.029000,1.104044,3,-1,,364.729000,365.291000,366.449000,366.562000
37,w0,delay,360.009000,1,0,1,COMPLETED_SUCCESSFULLY,377.237000,160.380000,537.617000,17.228000,177.608000,1.107420,4,-1,,375.297000,375.831000,376.946000,377.051000
38,w0,delay,370.003000,1,0,1,COMPLETED_SUCCESSFULLY,386.313000,160.507000,546.820000,16.310000,176.817000,1.101616,5,-1,,384.552000,385.093000,386.148000,386.225000
39,w0,delay,380.016000,1,0,1,COMPLETED_SUCCESSFULLY,397.300000,161.028000,558.328000,17.284000,178.312000,1.107335,6,-1,,395.065000,395.622000,396.965000,397.127000
40,w0,delay,390.008000,1,0,1,COMPLETED_SUCCESSFULLY,406.405000,160.418000,566.823000,16.397000,176.815000,1.102214,7,-1,,404.581000,405.125000,406.254000,406.366000
41,w0,delay,400.008000,1,0,1,COMPLETED_SUCCESSFULLY,417.836000,160.276000,578.112000,17.828000,178.104000,1.111233,8,-1,,415.844000,416.410000,417.517000,417.648000
42,w0,delay,410.008000,1,0,1,COMPLETED_SUCCESSFULLY,427.069000,160.498000,587.567000,17.061000,177.559000,1.106300,9,-1,,425.277000,425.840000,426.899000,427.008000
43,w0,delay,420.008000,1,0,1,COMPLETED_SUCCESSFULLY,437.980000,160.397000,598.377000,17.972000,178.369000,1.112047,10,-1,,436.133000,436.706000,437.807000,437.915000
44,w0,delay,430.008000,1,0,1,COMPLETED_SUCCESSFULLY,448.014000,160.345000,608.359000,18.006000,178.351000,1.112295,11,-1,,446.115000,446.656000,447.835000,447.960000
45,w0,delay,440.006000,1,0,1,COMPLETED_SUCCESSFULLY,456.773000,160.377000,617.150000,16.767000,177.144000,1.104547,12,-1,,454.861000,455.392000,456.552000,456.661000
46,w0,delay,450.018000,1,0,1,COMPLETED_SUCCESSFULLY,464.215000,160.438000,624.653000,14.197000,174.635000,1.088489,13,-1,,462.367000,462.948000,464.020000,464.120000
47,w0,delay,460.008000,1,0,1,COMPLETED_SUCCESSFULLY,475.290000,160.500000,635.790000,15.282000,175.782000,1.095215,14,-1,,473.540000,473.998000,475.075000,475.166000
48,w0,delay,470.008000,1,0,1,COMPLETED_SUCCESSFULLY,498.803000,161.084000,659.887000,28.795000,189.879000,1.178758,0,-1,,496.621000,497.141000,498.335000,498.676000
49,w0,delay,480.009000,1,0,1,COMPLETED_SUCCESSFULLY,664.467000,160.709000,825.176000,184.458000,345.167000,2.147776,0,-1,,659.898000,662.986000,664.045000,664.356000
50,w0,delay,490.008000,1,0,1,COMPLETED_SUCCESSFULLY,528.991000,160.300000,689.291000,38.983000,199.283000,1.243188,3,-1,,527.074000,527.692000,528.781000,528.899000
51,w0,delay,500.008000,1,0,1,COMPLETED_SUCCESSFULLY,1154.730000,160.367000,1315.097000,654.722000,815.089000,5.082648,,-1,,,1153.386000,1154.453000,1154.551000
52,w0,delay,510.003000,1,0,1,COMPLETED_SUCCESSFULLY,539.697000,160.179000,699.876000,29.694000,189.873000,1.185380,4,-1,,537.638000,538.276000,539.450000,539.577000
53,w0,delay,520.018000,1,0,1,COMPLETED_SUCCESSFULLY,548.655000,160.418000,709.073000,28.637000,189.055000,1.178515,5,-1,,546.828000,547.394000,548.458000,548.553000
54,w0,delay,530.008000,1,0,1,COMPLETED_SUCCESSFULLY,2115.602000,160.543000,2276.145000,1585.594000,1746.137000,10.876444,,-1,,,2113.944000,2115.042000,2115.484000
55,w0,delay,540.008000,1,0,1,COMPLETED_SUCCESSFULLY,560.451000,160.179000,720.630000,20.443000,180.622000,1.127626,6,-1,,558.343000,558.975000,560.108000,560.255000
56,w0,delay,550.008000,1,0,1,COMPLETED_SUCCESSFULLY,568.937000,160.197000,729.134000,18.929000,179.126000,1.118161,7,-1,,566.832000,567.293000,568.641000,568.845000
57,w0,delay,560.017000,1,0,1,COMPLETED_SUCCESSFULLY,579.926000,160.445000,740.371000,19.909000,180.354000,1.124086,8,-1,,578.124000,578.696000,579.771000,579.851000
58,w0,delay,570.007000,1,0,1,COMPLETED_SUCCESSFULLY,592.468000,160.382000,752.850000,22.461000,182.843000,1.140047,9,-1,,587.601000,590.825000,591.900000,592.346000
59,w0,delay,580.003000,1,0,1,COMPLETED_SUCCESSFULLY,603.140000,160.519000,763.659000,23.137000,183.656000,1.144139,10,-1,,598.399000,601.593000,602.664000,603.035000
60,w0,delay,590.003000,1,0,1,COMPLETED_SUCCESSFULLY,612.870000,160.818000,773.688000,22.867000,183.685000,1.142192,11,-1,,608.365000,611.582000,612.653000,612.749000
61,w0,delay,600.016000,1,0,1,COMPLETED_SUCCESSFULLY,621.972000,160.465000,782.437000,21.956000,182.421000,1.136827,12,-1,,617.171000,620.692000,621.776000,621.873000
62,w0,delay,610.007000,1,0,1,COMPLETED_SUCCESSFULLY,629.161000,160.812000,789.973000,19.154000,179.966000,1.119108,13,-1,,624.663000,627.890000,629.017000,629.106000
63,w0,delay,620.008000,1,0,1,COMPLETED_SUCCESSFULLY,640.667000,160.414000,801.081000,20.659000,181.073000,1.128786,14,-1,,635.799000,639.072000,640.381000,640.563000
64,w0,delay,630.008000,1,0,1,COMPLETED_SUCCESSFULLY,673.867000,160.676000,834.543000,43.859000,204.535000,1.272965,1,-1,,669.243000,672.554000,673.670000,673.764000
65,w0,delay,640.008000,1,0,1,COMPLETED_SUCCESSFULLY,2068.519000,160.231000,2228.750000,1428.511000,1588.742000,9.915322,,-1,,,2067.278000,2068.356000,2068.448000
66,w0,delay,650.003000,1,0,1,COMPLETED_SUCCESSFULLY,684.224000,160.493000,844.717000,34.221000,194.714000,1.213224,2,-1,,679.420000,682.927000,684.028000,684.125000
67,w0,delay,660.008000,1,0,1,COMPLETED_SUCCESSFULLY,694.419000,160.175000,854.594000,34.411000,194.586000,1.214834,3,-1,,689.301000,692.927000,694.121000,694.356000
