timeout,duration,makespan,mean_waiting_time
0,4.321561912,64545.200030,15043.951312
1,4.753825566,37502.275030,4147.847000
2,7.983225450,36194.170015,5069.822074
3,7.187655521,32989.614015,1355.430841
4,12.923213845,33076.308030,3739.307327
5,10.774507920,32558.293015,1049.072223
6,12.089283011,32734.221030,1361.307610
7,10.679861877,32555.019015,1062.406068
8,20.584406073,32792.791015,3756.010427
9,21.029491932,32792.992015,3258.662734
10,18.431436823,32575.920015,961.633376
11,16.458974867,32575.117015,1256.323607
12,14.749574255,32566.265015,919.177529
13,18.794681293,32558.422015,1478.928658
14,23.432629779,32556.649015,1029.851145
15,33.044259203,32563.759015,2739.931734
16,26.145388475,32559.872015,1077.976452
17,29.678791885,32630.047015,1062.443554
18,28.526403796,32554.030015,1260.215350
19,37.585543460,32554.222015,2211.363964
20,41.702990884,32576.668015,2761.552426
21,44.274329256,32598.916015,2804.436682
22,29.444010756,32554.235015,931.438067
23,37.964645260,32564.216015,1268.212273
24,52.984137378,32586.733015,3146.381323
25,33.508700480,32555.061015,959.957349
26,35.520144801,32554.034015,1294.587478
27,35.017710228,32555.075015,1194.438964
28,57.551063355,32556.702015,3133.154887
29,38.157447154,32554.249015,1117.169144
30,38.171205301,32554.042015,850.059784
31,65.003217043,32555.070015,3044.711991
32,47.208596855,32554.249015,943.081118
33,65.360829724,32555.087015,2276.038349
34,68.755728547,32554.234030,2330.215554
35,74.034475013,32578.178015,3239.085400
36,72.149587035,32564.468015,3227.680862
37,74.170903320,32559.976015,3710.060195
38,39.786929483,32554.032015,780.177887
39,79.203687704,32566.421015,3195.790349
40,84.747975696,32559.985015,3013.584734
41,43.990422508,32554.041045,830.898350
42,86.951412547,32560.142015,2915.720220
43,75.887288196,32554.071015,2401.863221
44,92.468000282,32565.154015,2897.672451
45,57.808845824,32554.036015,1049.510990
46,80.578578603,32554.092015,2309.670733
47,93.427121048,32555.109015,2867.138401
48,61.753709578,32554.259015,1244.657836
49,101.447708893,32559.996030,3444.944708
50,99.137053712,32556.768015,2653.408707
