timeout,duration,makespan,mean_waiting_time
0,7.656761770,44793.969030,11372.353636
1,8.243740837,6834.332015,979.413666
2,9.194925257,2742.411030,238.230447
3,11.144241127,2690.886030,190.626196
4,13.227850380,2537.798030,154.823007
5,15.124954040,2538.169015,142.102332
6,16.402323398,2429.003030,106.831782
7,18.685482121,2430.793030,115.361911
8,20.938154727,2453.654015,118.337395
9,22.272289668,2417.364015,102.063654
10,25.759685636,2400.433015,94.333839
11,27.771270887,2402.601015,104.137298
12,29.131175725,2370.843015,86.928409
13,31.187905516,2370.750015,90.313778
14,34.097674520,2342.533015,78.394893
15,34.832479467,2355.075030,80.059233
16,38.462833526,2396.895015,88.287503
17,39.386391818,2349.646015,78.801208
18,41.654832204,2304.208015,65.697622
19,44.318211816,2323.741015,75.131682
20,43.060360620,2313.017015,58.691467
21,46.660266599,2313.969015,67.808247
22,46.521288964,2329.048015,60.998602
23,49.595997623,2300.022015,57.523381
24,51.159031914,2310.241015,55.895676
25,55.781290765,2323.196015,71.664522
26,58.826884143,2319.852015,69.711711
27,55.821621247,2278.310015,49.757327
28,60.226535919,2295.899015,57.514942
29,65.004822239,2280.294015,61.393822
30,63.537490985,2282.236015,51.615981
31,62.362429147,2275.721015,51.369461
32,70.500561428,2309.061015,63.995952
33,70.205513120,2282.152015,55.266466
34,72.426339194,2310.300015,55.137712
35,76.612583958,2313.821015,66.923972
36,76.033454659,2259.202015,47.257146
37,74.249169942,2284.037015,46.395646
38,80.723429883,2267.013015,58.756471
39,83.299763734,2293.945015,63.088611
40,83.435697715,2290.810015,52.759801
41,86.251661316,2293.468015,62.994276
42,81.793133515,2230.839015,42.648677
43,93.859338986,2293.229015,60.642916
44,87.536564018,2290.047015,52.905076
45,94.416405967,2282.648015,60.844486
46,94.229955766,2263.528015,51.554721
47,95.249698662,2288.862015,52.811430
48,95.247479926,2230.240015,36.589370
49,71.848737051,2236.227015,20.146646
50,97.629531362,2280.342015,51.021656
